Date,Adj Close,Biden,Covid (no vax),First Vax,Booster,Ukraine,Pelosi is Speaker,NVIDIA 2000 release,NVIDIA 3000 release,NVIDIA 4000 release
2/15/2018,61.003242,0,0,0,0,0,0,0,0,0
2/16/2018,60.344952,0,0,0,0,0,0,0,0,0
2/20/2018,61.641731,0,0,0,0,0,0,0,0,0
2/21/2018,59.76833,0,0,0,0,0,0,0,0,0
2/22/2018,59.963951,0,0,0,0,0,0,0,0,0
2/23/2018,60.900002,0,0,0,0,0,0,0,0,0
2/26/2018,61.060963,0,0,0,0,0,0,0,0,0
2/27/2018,60.932194,0,0,0,0,0,0,0,0,0
2/28/2018,59.926815,0,0,0,0,0,0,0,0,0
3/1/2018,57.502499,0,0,0,0,0,0,0,0,0
3/2/2018,58.574741,0,0,0,0,0,0,0,0,0
3/5/2018,58.354347,0,0,0,0,0,0,0,0,0
3/6/2018,59.966438,0,0,0,0,0,0,0,0,0
3/7/2018,59.887184,0,0,0,0,0,0,0,0,0
3/8/2018,59.723751,0,0,0,0,0,0,0,0,0
3/9/2018,60.751423,0,0,0,0,0,0,0,0,0
3/12/2018,61.848419,0,0,0,0,0,0,0,0,0
3/13/2018,61.34079,0,0,0,0,0,0,0,0,0
3/14/2018,61.595852,0,0,0,0,0,0,0,0,0
3/15/2018,61.744427,0,0,0,0,0,0,0,0,0
3/16/2018,62.026726,0,0,0,0,0,0,0,0,0
3/19/2018,59.679176,0,0,0,0,0,0,0,0,0
3/20/2018,61.803867,0,0,0,0,0,0,0,0,0
3/21/2018,61.551281,0,0,0,0,0,0,0,0,0
3/22/2018,59.889668,0,0,0,0,0,0,0,0,0
3/23/2018,57.690704,0,0,0,0,0,0,0,0,0
3/26/2018,60.540936,0,0,0,0,0,0,0,0,0
3/27/2018,55.845844,0,0,0,0,0,0,0,0,0
3/28/2018,54.813217,0,0,0,0,0,0,0,0,0
3/29/2018,57.348972,0,0,0,0,0,0,0,0,0
4/2/2018,54.738934,0,0,0,0,0,0,0,0,0
4/3/2018,55.803757,0,0,0,0,0,0,0,0,0
4/4/2018,56.024147,0,0,0,0,0,0,0,0,0
4/5/2018,54.820648,0,0,0,0,0,0,0,0,0
4/6/2018,53.055038,0,0,0,0,0,0,0,0,0
4/9/2018,53.342293,0,0,0,0,0,0,0,0,0
4/10/2018,56.437683,0,0,0,0,0,0,0,0,0
4/11/2018,56.024147,0,0,0,0,0,0,0,0,0
4/12/2018,58.094337,0,0,0,0,0,0,0,0,0
4/13/2018,57.326672,0,0,0,0,0,0,0,0,0
4/16/2018,57.324203,0,0,0,0,0,0,0,0,0
4/17/2018,58.822365,0,0,0,0,0,0,0,0,0
4/18/2018,58.532639,0,0,0,0,0,0,0,0,0
4/19/2018,56.717503,0,0,0,0,0,0,0,0,0
4/20/2018,56.635788,0,0,0,0,0,0,0,0,0
4/23/2018,55.439724,0,0,0,0,0,0,0,0,0
4/24/2018,54.776077,0,0,0,0,0,0,0,0,0
4/25/2018,53.651836,0,0,0,0,0,0,0,0,0
4/26/2018,55.771557,0,0,0,0,0,0,0,0,0
4/27/2018,56.046432,0,0,0,0,0,0,0,0,0
4/30/2018,55.69231,0,0,0,0,0,0,0,0,0
5/1/2018,56.247005,0,0,0,0,0,0,0,0,0
5/2/2018,56.041473,0,0,0,0,0,0,0,0,0
5/3/2018,57.695648,0,0,0,0,0,0,0,0,0
5/4/2018,59.198772,0,0,0,0,0,0,0,0,0
5/7/2018,61.580986,0,0,0,0,0,0,0,0,0
5/8/2018,62.006916,0,0,0,0,0,0,0,0,0
5/9/2018,63.339172,0,0,0,0,0,0,0,0,0
5/10/2018,64.416374,0,0,0,0,0,0,0,0,0
5/11/2018,63.029629,0,0,0,0,0,0,0,0,0
5/14/2018,63.235168,0,0,0,0,0,0,0,0,0
5/15/2018,60.808376,0,0,0,0,0,0,0,0,0
5/16/2018,60.919807,0,0,0,0,0,0,0,0,0
5/17/2018,61.34079,0,0,0,0,0,0,0,0,0
5/18/2018,60.902477,0,0,0,0,0,0,0,0,0
5/21/2018,60.481514,0,0,0,0,0,0,0,0,0
5/22/2018,60.100166,0,0,0,0,0,0,0,0,0
5/23/2018,61.336594,0,0,0,0,0,0,0,0,0
5/24/2018,61.37376,0,0,0,0,0,0,0,0,0
5/25/2018,61.767746,0,0,0,0,0,0,0,0,0
5/29/2018,61.596771,0,0,0,0,0,0,0,0,0
5/30/2018,62.687023,0,0,0,0,0,0,0,0,0
5/31/2018,62.488789,0,0,0,0,0,0,0,0,0
6/1/2018,63.834267,0,0,0,0,0,0,0,0,0
6/4/2018,65.625755,0,0,0,0,0,0,0,0,0
6/5/2018,65.680275,0,0,0,0,0,0,0,0,0
6/6/2018,65.700089,0,0,0,0,0,0,0,0,0
6/7/2018,65.14257,0,0,0,0,0,0,0,0,0
6/8/2018,64.988937,0,0,0,0,0,0,0,0,0
6/11/2018,64.577621,0,0,0,0,0,0,0,0,0
6/12/2018,65.063278,0,0,0,0,0,0,0,0,0
6/13/2018,65.018677,0,0,0,0,0,0,0,0,0
6/14/2018,66.136177,0,0,0,0,0,0,0,0,0
6/15/2018,65.727348,0,0,0,0,0,0,0,0,0
6/18/2018,65.685204,0,0,0,0,0,0,0,0,0
6/19/2018,64.466133,0,0,0,0,0,0,0,0,0
6/20/2018,64.996407,0,0,0,0,0,0,0,0,0
6/21/2018,63.707901,0,0,0,0,0,0,0,0,0
6/22/2018,62.181541,0,0,0,0,0,0,0,0,0
6/25/2018,59.250248,0,0,0,0,0,0,0,0,0
6/26/2018,59.961391,0,0,0,0,0,0,0,0,0
6/27/2018,58.407772,0,0,0,0,0,0,0,0,0
6/28/2018,59.681393,0,0,0,0,0,0,0,0,0
6/29/2018,58.700172,0,0,0,0,0,0,0,0,0
7/2/2018,60.023346,0,0,0,0,0,0,0,0,0
7/3/2018,58.685307,0,0,0,0,0,0,0,0,0
7/5/2018,60.14476,0,0,0,0,0,0,0,0,0
7/6/2018,61.284561,0,0,0,0,0,0,0,0,0
7/9/2018,61.7603,0,0,0,0,0,0,0,0,0
7/10/2018,62.751442,0,0,0,0,0,0,0,0,0
7/11/2018,61.334118,0,0,0,0,0,0,0,0,0
7/12/2018,62.250927,0,0,0,0,0,0,0,0,0
7/13/2018,61.77766,0,0,0,0,0,0,0,0,0
7/16/2018,61.500134,0,0,0,0,0,0,0,0,0
7/17/2018,62.860477,0,0,0,0,0,0,0,0,0
7/18/2018,62.367382,0,0,0,0,0,0,0,0,0
7/19/2018,62.449146,0,0,0,0,0,0,0,0,0
7/20/2018,62.166679,0,0,0,0,0,0,0,0,0
7/23/2018,61.799957,0,0,0,0,0,0,0,0,0
7/24/2018,61.626507,0,0,0,0,0,0,0,0,0
7/25/2018,62.409508,0,0,0,0,0,0,0,0,0
7/26/2018,63.145428,0,0,0,0,0,0,0,0,0
7/27/2018,62.446678,0,0,0,0,0,0,0,0,0
7/30/2018,60.491646,0,0,0,0,0,0,0,0,0
7/31/2018,60.672535,0,0,0,0,0,0,0,0,0
8/1/2018,61.071472,0,0,0,0,0,0,0,0,0
8/2/2018,62.099777,0,0,0,0,0,0,0,0,0
8/3/2018,62.466499,0,0,0,0,0,0,0,0,0
8/6/2018,62.944717,0,0,0,0,0,0,0,0,0
8/7/2018,63.668255,0,0,0,0,0,0,0,0,0
8/8/2018,64.032486,0,0,0,0,0,0,0,0,0
8/9/2018,63.546829,0,0,0,0,0,0,0,0,0
8/10/2018,63.133022,0,0,0,0,0,0,0,0,0
8/13/2018,63.462585,0,0,0,0,0,0,0,0,0
8/14/2018,64.778313,0,0,0,0,0,0,0,0,0
8/15/2018,64.19603,0,0,0,0,0,0,0,0,0
8/16/2018,63.789673,0,0,0,0,0,0,0,0,0
8/17/2018,60.662624,0,0,0,0,0,0,0,0,0
8/20/2018,61.410938,0,0,0,0,0,0,0,0,0
8/21/2018,62.768799,0,0,0,0,0,0,0,0,0
8/22/2018,65.122749,0,0,0,0,0,0,0,0,0
8/23/2018,66.118835,0,0,0,0,0,0,0,0,0
