Date,Earnings 
2/15/2018,0.395
2/16/2018,0.395
2/20/2018,0.395
2/21/2018,0.395
2/22/2018,0.395
2/23/2018,0.395
2/26/2018,0.395
2/27/2018,0.395
2/28/2018,0.395
3/1/2018,0.395
3/2/2018,0.395
3/5/2018,0.395
3/6/2018,0.395
3/7/2018,0.395
3/8/2018,0.395
3/9/2018,0.395
3/12/2018,0.395
3/13/2018,0.395
3/14/2018,0.395
3/15/2018,0.395
3/16/2018,0.395
3/19/2018,0.395
3/20/2018,0.395
3/21/2018,0.395
3/22/2018,0.395
3/23/2018,0.395
3/26/2018,0.395
3/27/2018,0.395
3/28/2018,0.395
3/29/2018,0.395
4/2/2018,0.395
4/3/2018,0.395
4/4/2018,0.395
4/5/2018,0.395
4/6/2018,0.395
4/9/2018,0.395
4/10/2018,0.395
4/11/2018,0.395
4/12/2018,0.395
4/13/2018,0.395
4/16/2018,0.395
4/17/2018,0.395
4/18/2018,0.395
4/19/2018,0.395
4/20/2018,0.395
4/23/2018,0.395
4/24/2018,0.395
4/25/2018,0.395
4/26/2018,0.395
4/27/2018,0.395
4/30/2018,0.395
5/1/2018,0.395
5/2/2018,0.395
5/3/2018,0.395
5/4/2018,0.395
5/7/2018,0.395
5/8/2018,0.395
5/9/2018,0.495
5/10/2018,0.495
5/11/2018,0.495
5/14/2018,0.495
5/15/2018,0.495
5/16/2018,0.495
5/17/2018,0.495
5/18/2018,0.495
5/21/2018,0.495
5/22/2018,0.495
5/23/2018,0.495
5/24/2018,0.495
5/25/2018,0.495
5/29/2018,0.495
5/30/2018,0.495
5/31/2018,0.495
6/1/2018,0.495
6/4/2018,0.495
6/5/2018,0.495
6/6/2018,0.495
6/7/2018,0.495
6/8/2018,0.495
6/11/2018,0.495
6/12/2018,0.495
6/13/2018,0.495
6/14/2018,0.495
6/15/2018,0.495
6/18/2018,0.495
6/19/2018,0.495
6/20/2018,0.495
6/21/2018,0.495
6/22/2018,0.495
6/25/2018,0.495
6/26/2018,0.495
6/27/2018,0.495
6/28/2018,0.495
6/29/2018,0.495
7/2/2018,0.495
7/3/2018,0.495
7/5/2018,0.495
7/6/2018,0.495
7/9/2018,0.495
7/10/2018,0.495
7/11/2018,0.495
7/12/2018,0.495
7/13/2018,0.495
7/16/2018,0.495
7/17/2018,0.495
7/18/2018,0.495
7/19/2018,0.495
7/20/2018,0.495
7/23/2018,0.495
7/24/2018,0.495
7/25/2018,0.495
7/26/2018,0.495
7/27/2018,0.495
7/30/2018,0.495
7/31/2018,0.495
8/1/2018,0.495
8/2/2018,0.495
8/3/2018,0.495
8/6/2018,0.495
8/7/2018,0.495
8/8/2018,0.495
8/9/2018,0.495
8/10/2018,0.495
8/13/2018,0.495
8/14/2018,0.495
8/15/2018,0.44
8/16/2018,0.44
8/17/2018,0.44
8/20/2018,0.44
8/21/2018,0.44
8/22/2018,0.44
8/23/2018,0.44
8/24/2018,0.44
8/27/2018,0.44
8/28/2018,0.44
8/29/2018,0.44
8/30/2018,0.44
8/31/2018,0.44
9/4/2018,0.44
9/5/2018,0.44
9/6/2018,0.44
9/7/2018,0.44
9/10/2018,0.44
9/11/2018,0.44
9/12/2018,0.44
9/13/2018,0.44
9/14/2018,0.44
9/17/2018,0.44
9/18/2018,0.44
9/19/2018,0.44
9/20/2018,0.44
9/21/2018,0.44
9/24/2018,0.44
9/25/2018,0.44
9/26/2018,0.44
9/27/2018,0.44
9/28/2018,0.44
10/1/2018,0.44
10/2/2018,0.44
10/3/2018,0.44
10/4/2018,0.44
10/5/2018,0.44
10/8/2018,0.44
10/9/2018,0.44
10/10/2018,0.44
10/11/2018,0.44
10/12/2018,0.44
10/15/2018,0.44
10/16/2018,0.44
10/17/2018,0.44
10/18/2018,0.44
10/19/2018,0.44
10/22/2018,0.44
10/23/2018,0.44
10/24/2018,0.44
10/25/2018,0.44
10/26/2018,0.44
10/29/2018,0.44
10/30/2018,0.44
10/31/2018,0.44
11/1/2018,0.44
11/2/2018,0.44
11/5/2018,0.44
11/6/2018,0.44
11/7/2018,0.44
11/8/2018,0.44
11/9/2018,0.44
11/12/2018,0.44
11/13/2018,0.44
11/14/2018,0.492
11/15/2018,0.492
11/16/2018,0.492
11/19/2018,0.492
11/20/2018,0.492
11/21/2018,0.492
11/23/2018,0.492
11/26/2018,0.492
11/27/2018,0.492
11/28/2018,0.492
11/29/2018,0.492
11/30/2018,0.492
12/3/2018,0.492
12/4/2018,0.492
12/6/2018,0.492
12/7/2018,0.492
12/10/2018,0.492
12/11/2018,0.492
12/12/2018,0.492
12/13/2018,0.492
12/14/2018,0.492
12/17/2018,0.492
12/18/2018,0.492
12/19/2018,0.492
12/20/2018,0.492
12/21/2018,0.492
12/24/2018,0.492
12/26/2018,0.492
12/27/2018,0.492
12/28/2018,0.492
12/31/2018,0.492
1/2/2019,0.492
1/3/2019,0.492
1/4/2019,0.492
1/7/2019,0.492
1/8/2019,0.492
1/9/2019,0.492
1/10/2019,0.492
1/11/2019,0.492
1/14/2019,0.492
1/15/2019,0.492
1/16/2019,0.492
1/17/2019,0.492
1/18/2019,0.492
1/22/2019,0.492
1/23/2019,0.492
1/24/2019,0.492
1/25/2019,0.492
1/28/2019,0.492
1/29/2019,0.492
1/30/2019,0.492
1/31/2019,0.492
2/1/2019,0.492
2/4/2019,0.492
2/5/2019,0.492
2/6/2019,0.492
2/7/2019,0.492
2/8/2019,0.492
2/11/2019,0.492
2/12/2019,0.492
2/13/2019,0.23
2/14/2019,0.23
2/15/2019,0.23
2/19/2019,0.23
2/20/2019,0.23
2/21/2019,0.23
2/22/2019,0.23
2/25/2019,0.23
2/26/2019,0.23
2/27/2019,0.23
2/28/2019,0.23
3/1/2019,0.23
3/4/2019,0.23
3/5/2019,0.23
3/6/2019,0.23
3/7/2019,0.23
3/8/2019,0.23
3/11/2019,0.23
3/12/2019,0.23
3/13/2019,0.23
3/14/2019,0.23
3/15/2019,0.23
3/18/2019,0.23
3/19/2019,0.23
3/20/2019,0.23
3/21/2019,0.23
3/22/2019,0.23
3/25/2019,0.23
3/26/2019,0.23
3/27/2019,0.23
3/28/2019,0.23
3/29/2019,0.23
4/1/2019,0.23
4/2/2019,0.23
4/3/2019,0.23
4/4/2019,0.23
4/5/2019,0.23
4/8/2019,0.23
4/9/2019,0.23
4/10/2019,0.23
4/11/2019,0.23
4/12/2019,0.23
4/15/2019,0.23
4/16/2019,0.23
4/17/2019,0.23
4/18/2019,0.23
4/22/2019,0.23
4/23/2019,0.23
4/24/2019,0.23
4/25/2019,0.23
4/26/2019,0.23
4/29/2019,0.23
4/30/2019,0.23
5/1/2019,0.23
5/2/2019,0.23
5/3/2019,0.23
5/6/2019,0.23
5/7/2019,0.23
5/8/2019,0.23
5/9/2019,0.23
5/10/2019,0.23
5/13/2019,0.23
5/14/2019,0.23
5/15/2019,0.22
5/16/2019,0.22
5/17/2019,0.22
5/20/2019,0.22
5/21/2019,0.22
5/22/2019,0.22
5/23/2019,0.22
5/24/2019,0.22
5/28/2019,0.22
5/29/2019,0.22
5/30/2019,0.22
5/31/2019,0.22
6/3/2019,0.22
6/4/2019,0.22
6/5/2019,0.22
6/6/2019,0.22
6/7/2019,0.22
6/10/2019,0.22
6/11/2019,0.22
6/12/2019,0.22
6/13/2019,0.22
6/14/2019,0.22
6/17/2019,0.22
6/18/2019,0.22
6/19/2019,0.22
6/20/2019,0.22
6/21/2019,0.22
6/24/2019,0.22
6/25/2019,0.22
6/26/2019,0.22
6/27/2019,0.22
6/28/2019,0.22
7/1/2019,0.22
7/2/2019,0.22
7/3/2019,0.22
7/5/2019,0.22
7/8/2019,0.22
7/9/2019,0.22
7/10/2019,0.22
7/11/2019,0.22
7/12/2019,0.22
7/15/2019,0.22
