Date,TSM quarter earnings
2/15/2018,0.651
2/16/2018,0.651
2/20/2018,0.651
2/21/2018,0.651
2/22/2018,0.651
2/23/2018,0.651
2/26/2018,0.651
2/27/2018,0.651
2/28/2018,0.651
3/1/2018,0.651
3/2/2018,0.651
3/5/2018,0.651
3/6/2018,0.651
3/7/2018,0.651
3/8/2018,0.651
3/9/2018,0.651
3/12/2018,0.651
3/13/2018,0.651
3/14/2018,0.651
3/15/2018,0.651
3/16/2018,0.651
3/19/2018,0.651
3/20/2018,0.651
3/21/2018,0.651
3/22/2018,0.651
3/23/2018,0.651
3/26/2018,0.651
3/27/2018,0.651
3/28/2018,0.651
3/29/2018,0.651
4/2/2018,0.651
4/3/2018,0.651
4/4/2018,0.651
4/5/2018,0.651
4/6/2018,0.651
4/9/2018,0.651
4/10/2018,0.651
4/11/2018,0.651
4/12/2018,0.651
4/13/2018,0.651
4/16/2018,0.651
4/17/2018,0.651
4/18/2018,0.59
4/19/2018,0.59
4/20/2018,0.59
4/23/2018,0.59
4/24/2018,0.59
4/25/2018,0.59
4/26/2018,0.59
4/27/2018,0.59
4/30/2018,0.59
5/1/2018,0.59
5/2/2018,0.59
5/3/2018,0.59
5/4/2018,0.59
5/7/2018,0.59
5/8/2018,0.59
5/9/2018,0.59
5/10/2018,0.59
5/11/2018,0.59
5/14/2018,0.59
5/15/2018,0.59
5/16/2018,0.59
5/17/2018,0.59
5/18/2018,0.59
5/21/2018,0.59
5/22/2018,0.59
5/23/2018,0.59
5/24/2018,0.59
5/25/2018,0.59
5/29/2018,0.59
5/30/2018,0.59
5/31/2018,0.59
6/1/2018,0.59
6/4/2018,0.59
6/5/2018,0.59
6/6/2018,0.59
6/7/2018,0.59
6/8/2018,0.59
6/11/2018,0.59
6/12/2018,0.59
6/13/2018,0.59
6/14/2018,0.59
6/15/2018,0.59
6/18/2018,0.59
6/19/2018,0.59
6/20/2018,0.59
6/21/2018,0.59
6/22/2018,0.59
6/25/2018,0.59
6/26/2018,0.59
6/27/2018,0.59
6/28/2018,0.59
6/29/2018,0.59
7/2/2018,0.59
7/3/2018,0.59
7/5/2018,0.59
7/6/2018,0.59
7/9/2018,0.59
7/10/2018,0.59
7/11/2018,0.59
7/12/2018,0.59
7/13/2018,0.59
7/16/2018,0.59
7/17/2018,0.59
7/18/2018,0.59
7/19/2018,0.455
7/20/2018,0.455
7/23/2018,0.455
7/24/2018,0.455
7/25/2018,0.455
7/26/2018,0.455
7/27/2018,0.455
7/30/2018,0.455
7/31/2018,0.455
8/1/2018,0.455
8/2/2018,0.455
8/3/2018,0.455
8/6/2018,0.455
8/7/2018,0.455
8/8/2018,0.455
8/9/2018,0.455
8/10/2018,0.455
8/13/2018,0.455
8/14/2018,0.455
