Date,Adj Close
2/15/2018,2.635
2/16/2018,2.626
2/18/2018,null
2/20/2018,2.648
2/21/2018,2.679
2/22/2018,2.652
2/23/2018,2.618
2/25/2018,null
2/26/2018,2.607
2/27/2018,2.669
2/28/2018,2.65
3/1/2018,2.575
3/2/2018,2.623
3/4/2018,null
3/5/2018,2.644
3/6/2018,2.645
3/7/2018,2.649
3/8/2018,2.633
3/9/2018,2.654
3/11/2018,null
3/12/2018,2.635
3/13/2018,2.63
3/14/2018,2.606
3/15/2018,2.622
3/16/2018,2.645
3/18/2018,null
3/19/2018,2.642
3/20/2018,2.681
3/21/2018,2.698
3/22/2018,2.632
3/23/2018,2.611
3/25/2018,null
3/26/2018,2.635
3/27/2018,2.579
3/28/2018,2.589
3/29/2018,2.562
4/1/2018,null
4/2/2018,2.549
4/3/2018,2.604
4/4/2018,2.606
4/5/2018,2.64
4/6/2018,2.589
4/8/2018,null
4/9/2018,2.601
4/10/2018,2.625
4/11/2018,2.62
4/12/2018,2.671
4/13/2018,2.676
4/15/2018,null
4/16/2018,2.683
4/17/2018,2.678
4/18/2018,2.731
4/19/2018,2.76
4/20/2018,2.793
4/22/2018,null
4/23/2018,2.819
4/24/2018,2.811
4/25/2018,2.835
4/26/2018,2.819
4/27/2018,2.801
4/29/2018,null
4/30/2018,2.789
5/1/2018,2.821
5/2/2018,2.802
5/3/2018,2.782
5/4/2018,2.78
5/6/2018,null
5/7/2018,2.784
5/8/2018,2.808
5/9/2018,2.838
5/10/2018,2.833
5/11/2018,2.838
5/13/2018,null
5/14/2018,2.852
5/15/2018,2.925
5/16/2018,2.934
5/17/2018,2.932
5/18/2018,2.892
5/20/2018,null
5/21/2018,2.898
5/22/2018,2.899
5/23/2018,2.83
5/24/2018,2.816
5/25/2018,2.764
5/27/2018,null
5/29/2018,2.576
5/30/2018,2.673
5/31/2018,2.664
6/1/2018,2.738
6/3/2018,null
6/4/2018,2.785
6/5/2018,2.762
6/6/2018,2.813
6/7/2018,2.777
6/8/2018,2.775
6/10/2018,null
6/11/2018,2.802
6/12/2018,2.808
6/13/2018,2.84
6/14/2018,2.816
6/15/2018,2.799
6/17/2018,null
6/18/2018,2.799
6/19/2018,2.767
6/20/2018,2.796
6/21/2018,2.767
6/22/2018,2.774
6/24/2018,null
6/25/2018,2.743
6/26/2018,2.748
6/27/2018,2.697
6/28/2018,2.726
6/29/2018,2.731
7/1/2018,null
7/2/2018,2.753
7/3/2018,2.73
7/5/2018,2.741
7/6/2018,2.723
7/8/2018,null
7/9/2018,2.752
7/10/2018,2.772
7/11/2018,2.74
7/12/2018,2.755
7/13/2018,2.727
7/15/2018,null
7/16/2018,2.754
7/17/2018,2.763
7/18/2018,2.768
7/19/2018,2.74
7/20/2018,2.768
7/22/2018,null
