Date,
2/15/2018,37
2/16/2018,37
2/20/2018,34
2/21/2018,34
2/22/2018,34
2/23/2018,34
2/26/2018,36
2/27/2018,36
2/28/2018,36
3/1/2018,36
3/2/2018,36
3/5/2018,33
3/6/2018,33
3/7/2018,33
3/8/2018,33
3/9/2018,33
3/12/2018,32
3/13/2018,32
3/14/2018,32
3/15/2018,32
3/16/2018,32
3/19/2018,33
3/20/2018,33
3/21/2018,33
3/22/2018,33
3/23/2018,33
3/26/2018,40
3/27/2018,40
3/28/2018,40
3/29/2018,40
4/2/2018,35
4/3/2018,35
4/4/2018,35
4/5/2018,35
4/6/2018,35
4/9/2018,30
4/10/2018,30
4/11/2018,30
4/12/2018,30
4/13/2018,30
4/16/2018,31
4/17/2018,31
4/18/2018,31
4/19/2018,31
4/20/2018,31
4/23/2018,29
4/24/2018,29
4/25/2018,29
4/26/2018,29
4/27/2018,29
4/30/2018,31
5/1/2018,31
5/2/2018,31
5/3/2018,31
5/4/2018,31
5/7/2018,39
5/8/2018,39
5/9/2018,39
5/10/2018,39
5/11/2018,39
5/14/2018,30
5/15/2018,30
5/16/2018,30
5/17/2018,30
5/18/2018,30
5/21/2018,34
5/22/2018,34
5/23/2018,34
5/24/2018,34
5/25/2018,34
5/29/2018,31
5/30/2018,31
5/31/2018,31
6/1/2018,31
6/4/2018,30
6/5/2018,30
6/6/2018,30
6/7/2018,30
6/8/2018,30
6/11/2018,33
6/12/2018,33
6/13/2018,33
6/14/2018,33
6/15/2018,33
6/18/2018,30
6/19/2018,30
6/20/2018,30
6/21/2018,30
6/22/2018,30
6/25/2018,34
6/26/2018,34
6/27/2018,34
6/28/2018,34
6/29/2018,34
7/2/2018,28
7/3/2018,28
7/5/2018,28
7/6/2018,28
7/9/2018,32
7/10/2018,32
7/11/2018,32
7/12/2018,32
7/13/2018,32
7/16/2018,33
7/17/2018,33
7/18/2018,33
7/19/2018,33
7/20/2018,33
7/23/2018,33
7/24/2018,33
7/25/2018,33
7/26/2018,33
7/27/2018,33
7/30/2018,32
7/31/2018,32
8/1/2018,32
8/2/2018,32
8/3/2018,32
8/6/2018,30
8/7/2018,30
8/8/2018,30
8/9/2018,30
8/10/2018,30
8/13/2018,45
8/14/2018,45
8/15/2018,45
8/16/2018,45
8/17/2018,45
8/20/2018,58
8/21/2018,58
8/22/2018,58
8/23/2018,58
8/24/2018,58
8/27/2018,34
8/28/2018,34
8/29/2018,34
8/30/2018,34
8/31/2018,34
9/4/2018,33
9/5/2018,33
9/6/2018,33
9/7/2018,33
9/10/2018,32
9/11/2018,32
9/12/2018,32
9/13/2018,32
9/14/2018,32
9/17/2018,29
9/18/2018,29
9/19/2018,29
9/20/2018,29
9/21/2018,29
9/24/2018,30
9/25/2018,30
9/26/2018,30
9/27/2018,30
9/28/2018,30
10/1/2018,30
10/2/2018,30
10/3/2018,30
10/4/2018,30
10/5/2018,30
10/8/2018,32
10/9/2018,32
10/10/2018,32
10/11/2018,32
10/12/2018,32
10/15/2018,30
10/16/2018,30
10/17/2018,30
10/18/2018,30
10/19/2018,30
10/22/2018,32
10/23/2018,32
10/24/2018,32
10/25/2018,32
10/26/2018,32
10/29/2018,32
10/30/2018,32
10/31/2018,32
11/1/2018,32
11/2/2018,32
11/5/2018,29
11/6/2018,29
11/7/2018,29
11/8/2018,29
11/9/2018,29
11/12/2018,40
11/13/2018,40
11/14/2018,40
11/15/2018,40
11/16/2018,40
11/19/2018,41
11/20/2018,41
11/21/2018,41
11/23/2018,41
11/26/2018,37
11/27/2018,37
11/28/2018,37
11/29/2018,37
11/30/2018,37
12/3/2018,34
12/4/2018,34
12/6/2018,34
12/7/2018,34
12/10/2018,36
12/11/2018,36
12/12/2018,36
12/13/2018,36
12/14/2018,36
12/17/2018,36
12/18/2018,36
12/19/2018,36
12/20/2018,36
12/21/2018,36
12/24/2018,35
12/26/2018,35
12/27/2018,35
12/28/2018,35
12/31/2018,32
1/2/2019,32
1/3/2019,32
1/4/2019,32
1/7/2019,37
1/8/2019,37
1/9/2019,37
1/10/2019,37
1/11/2019,37
1/14/2019,36
1/15/2019,36
1/16/2019,36
1/17/2019,36
1/18/2019,36
1/22/2019,32
1/23/2019,32
1/24/2019,32
1/25/2019,32
1/28/2019,35
1/29/2019,35
1/30/2019,35
1/31/2019,35
2/1/2019,35
2/4/2019,31
2/5/2019,31
2/6/2019,31
2/7/2019,31
2/8/2019,31
2/11/2019,34
2/12/2019,34
2/13/2019,34
2/14/2019,34
2/15/2019,34
2/19/2019,32
2/20/2019,32
2/21/2019,32
2/22/2019,32
2/25/2019,30
2/26/2019,30
2/27/2019,30
2/28/2019,30
3/1/2019,30
3/4/2019,29
3/5/2019,29
3/6/2019,29
3/7/2019,29
3/8/2019,29
3/11/2019,31
3/12/2019,31
3/13/2019,31
3/14/2019,31
3/15/2019,31
3/18/2019,33
3/19/2019,33
3/20/2019,33
3/21/2019,33
3/22/2019,33
3/25/2019,29
3/26/2019,29
3/27/2019,29
3/28/2019,29
3/29/2019,29
4/1/2019,28
4/2/2019,28
4/3/2019,28
4/4/2019,28
4/5/2019,28
4/8/2019,26
4/9/2019,26
4/10/2019,26
4/11/2019,26
4/12/2019,26
4/15/2019,26
4/16/2019,26
4/17/2019,26
4/18/2019,26
4/22/2019,26
4/23/2019,26
4/24/2019,26
4/25/2019,26
4/26/2019,26
4/29/2019,24
4/30/2019,24
5/1/2019,24
5/2/2019,24
5/3/2019,24
5/6/2019,25
