Date,TSMC_googl
2/15/2018,8
2/16/2018,8
2/20/2018,6
2/21/2018,6
2/22/2018,6
2/23/2018,6
2/26/2018,9
2/27/2018,9
2/28/2018,9
3/1/2018,9
3/2/2018,9
3/5/2018,7
3/6/2018,7
3/7/2018,7
3/8/2018,7
3/9/2018,7
3/12/2018,8
3/13/2018,8
3/14/2018,8
3/15/2018,8
3/16/2018,8
3/19/2018,6
3/20/2018,6
3/21/2018,6
3/22/2018,6
3/23/2018,6
3/26/2018,6
3/27/2018,6
3/28/2018,6
3/29/2018,6
4/2/2018,8
4/3/2018,8
4/4/2018,8
4/5/2018,8
4/6/2018,8
4/9/2018,8
4/10/2018,8
4/11/2018,8
4/12/2018,8
4/13/2018,8
4/16/2018,13
4/17/2018,13
4/18/2018,13
4/19/2018,13
4/20/2018,13
4/23/2018,12
4/24/2018,12
4/25/2018,12
4/26/2018,12
4/27/2018,12
4/30/2018,11
5/1/2018,11
5/2/2018,11
5/3/2018,11
5/4/2018,11
5/7/2018,6
5/8/2018,6
5/9/2018,6
5/10/2018,6
5/11/2018,6
5/14/2018,7
5/15/2018,7
5/16/2018,7
5/17/2018,7
5/18/2018,7
5/21/2018,11
5/22/2018,11
5/23/2018,11
5/24/2018,11
5/25/2018,11
5/29/2018,7
5/30/2018,7
5/31/2018,7
6/1/2018,7
6/4/2018,9
6/5/2018,9
6/6/2018,9
6/7/2018,9
6/8/2018,9
6/11/2018,10
6/12/2018,10
6/13/2018,10
6/14/2018,10
6/15/2018,10
6/18/2018,8
6/19/2018,8
6/20/2018,8
6/21/2018,8
6/22/2018,8
6/25/2018,11
6/26/2018,11
6/27/2018,11
6/28/2018,11
6/29/2018,11
7/2/2018,6
7/3/2018,6
7/5/2018,6
7/6/2018,6
7/9/2018,8
7/10/2018,8
7/11/2018,8
7/12/2018,8
7/13/2018,8
7/16/2018,11
7/17/2018,11
7/18/2018,11
7/19/2018,11
7/20/2018,11
7/23/2018,9
7/24/2018,9
7/25/2018,9
7/26/2018,9
7/27/2018,9
7/30/2018,11
7/31/2018,11
8/1/2018,11
8/2/2018,11
8/3/2018,11
8/6/2018,24
8/7/2018,24
8/8/2018,24
8/9/2018,24
8/10/2018,24
8/13/2018,10
8/14/2018,10
8/15/2018,10
8/16/2018,10
